S.N.,Landslide event(chainage),Date,Co-ordinade(Y),Co-ordinate(X),Elevation(m),Date  of landslide(Nepali Date),Time of landslide,Nearest rainfall station
1,41+370,27-Sep-24,27.45060556,85.24113056,1130,2081.06.11,10:00 AM,Makwanpurgadi
2,41+600,27-Sep-24,27.45281944,85.23966389,1112,2081.06.11,11:00 AM,Makwanpurgadi
3,42+400,27-Sep-24,27.45673333,85.241925,1075,2081.06.11,9:00 AM,Makwanpurgadi
4,44+780,27-Sep-24,27.46441944,85.250675,955,2081.06.11,5:00 AM,Makwanpurgadi
5,47+440,27-Sep-24,27.478375,85.24417222,835,2081.06.11,6:00 AM,Makwanpurgadi
6,47+600,27-Sep-24,27.48040278,85.24200278,812,2081.06.11,7:00 AM,Makwanpurgadi
7,48+800,27-Sep-24,27.47843889,85.24680556,730,2081.06.11,8:00 AM,Makwanpurgadi
8,52+300,27-Sep-24,27.48446667,85.26221944,998,2081.06.11,12:00 PM,Makwanpurgadi
9,58+000,28-Sep-24,27.50033611,85.28439722,1380,2081.06.12,11:00:00 AM,Lele
10,58+270,28-Sep-24,27.50234444,85.28531389,1405,2081.06.12,10:00:00 AM,Lele
11,59+250,28-Sep-24,27.50343889,85.29038056,1444,2081.06.12,9:00:00 AM,Lele
12,59+300,28-Sep-24,27.504625,85.29077778,1456,2081.06.12,10:00:00 AM,Lele
13,60+120,28-Sep-24,27.50497222,85.29501111,1487,2081.06.12,10:00:00 PM,Lele
14,60+220,28-Sep-24,27.50394722,85.29610833,1498,2081.06.12,5:00:00 AM,Lele
15,60+250,28-Sep-24,27.50366667,85.29649167,1501,2081.06.12,11:00:00 PM,Lele
16,60+400,28-Sep-24,27.5025,85.29816111,1513,2081.06.12,5:00:00 AM,Lele
17,61+280,28-Sep-24,27.50588333,85.29905833,1545,2081.06.12,8:00:00 AM,Lele
18,62+320,28-Sep-24,27.511775,85.29330833,1605,2081.06.12,10:30:00 AM,Lele
19,62+720,28-Sep-24,27.51360556,85.29144722,1624,2081.06.12,11:00:00 AM,Lele
20,63+680,28-Sep-24,27.51869444,85.28830556,1698,2081.06.12,12:00:00 PM,Lele
21,64+300,28-Sep-24,27.52205278,85.28823611,1732,2081.06.12,9:00:00 AM,Lele
22,67+560,28-Sep-24,27.53317778,85.29489444,1954,2081.06.12,4:00:00 PM,Lele
23,69+070,28-Sep-24,27.54134722,85.29811667,1973,2081.06.12,3:00:00 PM,Lele
24,69+150,28-Sep-24,27.54240278,85.29774167,1964,2081.06.12,2:00:00 PM,Lele
25,69+650,28-Sep-24,27.54623056,85.29869444,1921,2081.06.12,5:00:00 PM,Lele
26,72+850,28-Sep-24,27.56138611,85.30393333,1634,2081.06.12,6:30:00 AM,Chapagaun
27,72+900,28-Sep-24,27.561175,85.30375,1631,2081.06.12,6:00:00 AM,Chapagaun
28,73+100,28-Sep-24,27.55921667,85.30160278,1611,2081.06.12,8:30:00 AM,Lele
29,51+750,27-Sep-24,27.482675,85.25695833,955,2081.06.11,6:30:00 AM,Makwanpurgadi
30,56+200,28-Jul-24,27.50076667,85.27489167,1292,2081.04.13,7:00:00 AM,Lele
31,54+960,28-Jul-24,27.49375,85.2777,1209,2081.04.13,6:00:00 AM,Lele
32,56+050,27-Jul-24,27.49923889,85.27481667,1279,2081.04.12,5:00:00 PM,Lele
33,67+880,30-Jul-24,27.52786111,85.29381389,1902,2081.04.15,8:00:00 AM,Lele
1,56+800,9-May-22,27.50051667,85.27794722,1312,2079.01.26,3:00:00 AM,Lele
2,62+030,11-Jul-22,27.51111111,85.29490278,1857,2079.03.27,2:00:00 AM,Lele
3,51+800,26-Jul-22,27.48256667,85.25755833,959,2079.04.10,800:00 AM,Makwanpurgadi
4,52+100,26-Jul-22,27.48429444,85.26051667,988,2079.04.10,7:00 AM,Makwanpurgadi
5,49+250,1-Aug-22,27.47656944,85.25153889,774,2079.04.16,  8:00:00 PM,Makwanpurgadi
6,49+450,1-Aug-22,27.47525,85.25353056,796,2079.04.16,3:00 PM,Makwanpurgadi
1,65+250,6-Aug-21,27.52623333,85.28748889,1797,2078.04.22,5:00:00 AM,Lele
2,61+800,31-Jul-21,27.50984167,85.296775,1581,2078.04.16,4:00:00 PM,Lele
1,53+600,20-Jul-20,27.49009444,85.27033333,1101,2077.04.05,6:00:00 PM,Lele
2,54+180,20-Jul-20,27.49105,85.27435556,1149,2077.04.05,8:00:00 PM,Lele
3,64+410,21-Jul-20,27.52334722,85.28748611,1745,2077.04.06,5:00:00 PM,Lele
4,41+140,10-Jul-20,27.44921111,85.240075,1152,2077.03.26,500:00 PM,Makwanpurgadi
5,59+100,25-Jul-20,27.50239722,85.29034444,1437,2077.04.10,900:00 PM,Lele
1,73+500,14-Jul-19,27.5612,85.30207778,1588,2076.03.29,5:00:00 AM,Chapagaun
2,72+100,11-Aug-19,27.55623333,85.30066667,1726,2076.04.26,5:00:00 PM,Lele
3,72+500,11-Aug-19,27.55624444,85.30069444,1664,2076.04.26,6:00:00 PM,Lele
4,60+700,11-Aug-19,27.50584444,85.29307778,1477,2076.04.26,8:00:00 AM,Lele
5,44+650,10-Jul-19,27.44,85.25,,2076.03.25,5:00:00 AM,Makwanpurgadi
6,64+550,10-Jul-19,27.5244,85.28687778,1754,2076.03.25,6:00:00AM,Lele
7,65+750,11-Jul-19,27.52377778,85.29220278,1831,2076.03.26,5:00:00 AM,Lele
8,72+300,6-Aug-19,27.55711667,85.30160556,1712,2076.04.21,10:00:00 AM,Lele
1,71+200,11-Jul-18,27.55271111,85.30013611,1794,2075.03.27,6:00:00 AM,Lele
2,70+850,11-Jul-18,27.55402778,85.30066667,1753,2075.03.27,8:00:00 AM,Lele
3,67+000,26-Jul-18,27.52985,85.29304722,1924,2075.04.10,8:00:00 AM,Lele
1,70+300,14-Aug-17,27.54946111,85.29743611,1868,2074.04.30,6:00:00 AM,Lele
2,70+400,14-Aug-17,27.55060278,85.29719722,1854,2074.04.30,7:00:00 AM,Lele
